Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
                47","
                48","
                48","
                44"

HEWLETT PACKARD - BRAZIL - 2015,"
                48","
                47","
                46","
                46","
                45","
                45","
                46","
                46","
                47","
                47",,

HEWLETT PACKARD - CHINA - 2013,"
                44","
                44","
                44","
                43","
                43","
                43","
                42","
                41","
                41","
                41","
                41","
                42"

HEWLETT PACKARD - CHINA - 2014,"
                43","
                43","
                43","
                45","
                47","
                49","
                50","
                49","
                47","
                48","
                47","
                47"

HEWLETT PACKARD - CHINA - 2015,"
                47","
                48","
                48","
                48","
                48","
                47","
                47","
                49","
                50","
                48",,

HEWLETT PACKARD - SPAIN - 2013,,,"
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45"

HEWLETT PACKARD - SPAIN - 2014,"
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45"

HEWLETT PACKARD - SPAIN - 2015,"
                45","
                45","
                45","
                45","
                45","
                45","
                69","
                45","
                45","
                45",,

HEWLETT PACKARD - UK - 2013,"
                45","
                45","
                45","
                46","
                45","
                45","
                46","
                45","
                45","
                45","
                45","
                45"

HEWLETT PACKARD - UK - 2014,"
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45"

HEWLETT PACKARD - UK - 2015,"
                45","
                40","
                42","
                43","
                46","
                46","
                55","
                42","
                45","
                45",,

PEPSICO - USA - 2013,"
                17","
                19","
                17","
                16","
                18","
                18","
                19","
                21","
                21","
                21","
                21","
                23"

PEPSICO - USA - 2014,"
                16","
                16","
                15","
                15","
                15","
                15","
                15","
                15","
                15","
                17","
                21","
                21"

PEPSICO - USA - 2015,"
                19","
                16","
                16","
                18","
                16","
                16","
                17","
                16","
                17","
                18",,

PEPSICO - BRAZIL - 2013,"
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                43","
                43","
                48"

PEPSICO - BRAZIL - 2014,"
                46","
                43","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45","
                45"

PEPSICO - BRAZIL - 2015,"
                45","
                45","
                45","
                42","
                43","
                46","
                45","
                46","
                46","
                46",,

PEPSICO - CHINA - 2014,,,,"
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60"

PEPSICO - CHINA - 2015,"
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60",,

PEPSICO - SPAIN - 2013,"
                81","
                72","
                72","
                74","
                78","
                77","
                77","
                79","
                80","
                82","
                78","
                76"

PEPSICO - SPAIN - 2014,"
                70","
                70","
                72","
                74","
                75","
                75","
                76","
                77","
                77","
                76","
                74","
                71"

PEPSICO - SPAIN - 2015,"
                72","
                72","
                73","
                72","
                72","
                71","
                75","
                75","
                75","
                74",,

PEPSICO - UK - 2013,,"
                51","
                39","
                80","
                96","
                70","
                64","
                56","
                57","
                82","
                71","
                45"

PEPSICO - UK - 2014,"
                30","
                30","
                30","
                33","
                33","
                36","
                65","
                68","
                66","
                -3,622","
                288","
                -410"

PEPSICO - UK - 2015,"
                50","
                32","
                32","
                32","
                33","
                32","
                44","
                31","
                33","
                34",,

PROCTER & GAMBLE - USA - 2013,"
                30","
                30","
                31","
                31","
                30","
                30","
                31","
                31","
                31","
                31","
                30","
                32"

PROCTER & GAMBLE - USA - 2014,"
                31","
                30","
                30","
                31","
                31","
                31","
                30","
                31","
                32","
                32","
                33","
                39"

PROCTER & GAMBLE - USA - 2015,"
                32","
                31","
                32","
                32","
                31","
                33","
                31","
                31","
                31","
                31",,

PROCTER & GAMBLE- BRAZIL - 2013,"
                43","
                42","
                42","
                38","
                35","
                34","
                33","
                34","
                33","
                53","
                34","
                34"

PROCTER & GAMBLE- BRAZIL - 2014,"
                36","
                34","
                32","
                32","
                32","
                31","
                33","
                33","
                32","
                33","
                35","
                35"

PROCTER & GAMBLE- BRAZIL - 2015,"
                29","
                33","
                35","
                34","
                35","
                35","
                35","
                35","
                35","
                35",,

PROCTER & GAMBLE - CHINA - 2015,,,,,,,"
                30","
                30","
                30","
                30",,

PROCTER & GAMBLE - SPAIN - 2013,"
                62","
                61","
                61","
                61","
                59","
                60","
                59","
                59","
                60","
                59","
                63","
                62"

PROCTER & GAMBLE - SPAIN - 2014,"
                61","
                61","
                64","
                61","
                60","
                61","
                64","
                62","
                62","
                62","
                63","
                61"

PROCTER & GAMBLE - SPAIN - 2015,"
                62","
                61","
                62","
                63","
                60","
                60","
                60","
                60","
                60","
                60",,

PROCTER & GAMBLE - UK - 2013,"
                42","
                41","
                47","
                48","
                43","
                38","
                39","
                44","
                43","
                45","
                46","
                46"

PROCTER & GAMBLE - UK - 2014,"
                46","
                43","
                43","
                44","
                42","
                43","
                43","
                45","
                53","
                54","
                59","
                56"

PROCTER & GAMBLE - UK - 2015,"
                55","
                56","
                56","
                50","
                50","
                49","
                58","
                48","
                45","
                60",,

UNILEVER - USA - 2013,"
                58","
                58","
                59","
                59","
                59","
                58","
                59","
                59","
                59","
                59","
                59","
                59"

UNILEVER - USA - 2014,"
                59","
                59","
                59","
                59","
                60","
                61","
                61","
                61","
                62","
                61","
                61","
                61"

UNILEVER - USA - 2015,"
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                61","
                61","
                60",,

UNILEVER - BRAZIL - 2013,"
                85","
                85","
                86","
                83","
                83","
                83","
                83","
                86","
                84","
                81","
                80","
                76"

UNILEVER - BRAZIL - 2014,"
                79","
                75","
                71","
                66","
                69","
                72","
                74","
                73","
                76","
                78","
                80","
                80"

UNILEVER - BRAZIL - 2015,"
                79","
                78","
                78","
                78","
                79","
                77","
                78","
                81","
                81","
                78",,

UNILEVER - CHINA - 2013,"
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                62","
                65","
                65","
                65"

UNILEVER - CHINA - 2014,"
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65"

UNILEVER - CHINA - 2015,"
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65","
                65",,

UNILEVER - SPAIN - 2013,"
                60","
                60","
                62","
                63","
                59","
                60","
                58","
                57","
                59","
                59","
                60","
                61"

UNILEVER - SPAIN - 2014,"
                61","
                61","
                60","
                60","
                60","
                64","
                60","
                60","
                60","
                60","
                60","
                60"

UNILEVER - SPAIN - 2015,"
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60","
                60",,

UNILEVER - UK - 2013,"
                55","
                50","
                56","
                57","
                59","
                57","
                62","
                63","
                64","
                63","
                64","
                73"

UNILEVER - UK - 2014,"
                63","
                71","
                70","
                66","
                79","
                67","
                63","
                66","
                60","
                59","
                58","
                55"

UNILEVER - UK - 2015,"
                52","
                55","
                51","
                49","
                50","
                53","
                66","
                57","
                57","
                62",,
